Point ID,Y,Z
216,34.44691419242326,146.2155492038803
217,45.046187773257536,109.82718677184252
218,53.57104433754398,107.34477215345325
219,47.09765606224172,100.99332484668118
220,51.582278626564104,116.39396091392165
221,40.55561832553706,93.95114655547115
222,41.29592660909135,120.09608735704606
223,37.439660470794536,103.40560475509386
224,23.608945484421476,88.82768477002634
225,41.70263984007275,130.21972252692171
226,30.704909815111314,95.9452950983654
227,23.55287083923016,125.87889530199709
228,32.338732857782716,87.22044357475052
229,32.43578320750213,73.82237758144724
230,16.073888867897708,103.43582310134954
231,33.239924365652286,125.48972157415035
232,22.186781076602898,97.34152135268299
233,18.676376958203328,71.87491284594036
234,26.763314866179268,108.04493626629049
235,28.816666950908637,136.1453734658797
236,28.06701661861448,117.48557611724297
237,37.16000522809501,137.31506988253102
238,17.81813724746268,114.09055437754108
239,0.0,112.5
240,9.200440820311243,110.03118898024194
241,7.998239022144439,101.8989879534983
242,9.516460502375176,120.53731585243919
243,0.0,137.5
244,17.09699120912053,121.73044675490564
245,12.235211157357332,127.94172615714753
246,19.03827344731848,133.18810777855694
247,17.00307219536539,141.2167541863663
248,8.509121642947253,145.62306159325422
249,25.327788105827672,145.10224229743568
250,9.182809830929537,136.53175392453144
251,0.0,162.5
252,8.957472613081809,156.43267463482763
253,10.767005833985209,168.75
254,19.24819486957044,160.31153031885995
255,25.665559363253777,164.0
256,18.864045825015488,168.4067337058426
257,15.424042273402945,182.93218505570627
258,23.298361978161953,177.12696145925884
259,25.57452185534136,188.45744260059868
260,31.574941126591472,178.19528091722682
261,78.1742738423946,101.23717811367658
262,78.17427384239461,111.76282188632342
263,115.60603857847296,80.5
264,110.65625871666508,93.5
265,105.0,106.5
266,121.82572615760539,101.23717811367658
267,133.70900699274,93.5
268,16.78605398467544,36.0
269,73.75,30.0
270,71.0,42.0
271,67.0,53.06976851643675
272,75.0,49.702951274648214
273,74.6242366051795,59.99802211515073
274,87.5,0.0
275,57.7503484008745,14.87482579956275
276,183.21394601532455,36.0
277,150.21961284723108,11.301206979175669
278,154.04133527997425,17.773170238776068
279,162.5,0.0
280,160.16933617394048,9.79020559493693
281,165.075260486563,19.899678942834417
282,183.29451016674628,17.267061000477653
283,171.35527933734545,10.607002035007707
284,174.60676907787655,21.50305128046124
285,168.75,3.7820994250520337
286,200.0,37.5
287,178.39790885874848,29.05577839113958
288,189.14565856570607,26.744022082187456
289,187.5,0.0
290,180.69921205573672,7.888023034592738
291,195.4369380414424,31.25
292,191.40746828972777,38.98259797696405
293,200.0,12.5
294,190.52029047604458,9.479709523955407
295,193.42849965212972,18.75
296,129.0,42.0
297,114.33333333333333,66.0
298,129.0,51.33333333333333
299,73.75,170.0
300,105.0,150.0
301,36.56120735847553,190.15982570479903
302,146.0,158.0
303,168.75,200.0
304,183.64992588752708,187.75080313485347
305,176.4494929239077,164.0
306,186.65796918654254,154.3644000491975
307,117.53417024945665,151.54619536240693
308,108.75,170.0
309,131.25,190.49265773627414
310,162.0,143.23873119223455
311,143.3933431434209,137.64171932632598
312,152.5042146756178,141.08002726632805
313,155.62187191679322,149.33051807810136
314,162.0,158.0
315,166.0,150.6193655961173
316,176.87102168418897,149.5019542485875
317,170.73825141737964,143.27719352715536
318,178.44713505961198,113.82475635780466
319,178.88310211642067,141.38615865381823
320,166.43730881803836,127.76745318668345
321,200.0,125.0
322,166.40050517084276,136.12886761807
323,175.49287485091025,131.98810042860006
324,157.0660996460938,131.9069930347308
325,179.3322715795799,156.82866558550646
326,154.4134420414535,113.22465445063213
327,147.46060067660238,128.17220790340326
328,200.0,137.5
329,174.40850317861992,122.4898012157534
330,158.37446428394944,122.19173034112376
331,141.8522393052458,116.70898688756992
332,185.2404575428154,122.26470154996983
